issue,title,primary finding,validator comment,status,root cause (URL),size
findings-39,Improper proof validation causes incorrect resolution of step,findings-39,,Satisfactory,,102
validation-31,Missing address check for instructions LH and LHU,validation-31,leaving MIPS for sponsor :),Satisfactory,,24
validation-125,"if step is called in a game with multiple branches, the call will almost always revert ",validation-125,"unsure, save for sponsor",Satisfactory,,29
validation-33,"For instructions such as DIV and mthi, store register will be set to 0, which is unexpectedly.",validation-33,leaving MIPS for sponsor :),Satisfactory,,30
findings-54,Panic in MIPS VM Could Lead to Unchallengeable L2 Output Root Claim,findings-54,leaving MIPS for sponsor :),Satisfactory,,31
validation-30,The function `loadLocalData` does not properly check the `_partOffset`.,validation-30,"why is the limit 64? where's POC? i assume it's intentional we can take the end of it, but are we sure memory is clean after?",Satisfactory,,35
findings-10,Honest party's proposed L2 block could become unsafe when re-org takes place,findings-6,"might not be a dup of 6, could go either way, same root cause though",Satisfactory,,35
findings-43,l2Number may overflow uint64 if split depth is larger than 64,findings-43,,Satisfactory,,36
findings-26,An attacker can take the bond away from the honest challenger if `FDG.CLOCK_EXTENSION` is less than `PreimageOracle.CHALLENGE_PERIOD`,findings-29,,Satisfactory,,37
validation-45,challengeRootL2Block can be called after the clock has expired,validation-45,i'm on the fence if this is an issue but putting it through for protocol team to decide,Satisfactory,,38
validation-71,squeezeLPP can be called on unfinalized proposals to write arbitrary data,findings-13,,Satisfactory,,39
findings-41,`MIPS` - Incorrect implementation of SRAV instruction,findings-41,leaving MIPS for sponsor :),Satisfactory,,40
validation-117,`squeezeLPP` and `loadKeccak256PreimagePart` use the same key-prefix possibly leading to content corruption,validation-117,"i think this is invalid and how it should be, but will ask for POC",Satisfactory,,41
validation-48,`challengeLPP`  don't have need the proposal is being finalized,validation-48,is this intentional? seems like it could be a problem in that it could be challenged when it's not ready?,Satisfactory,,41
validation-29,Implicit underflows can revert it ,validation-29,don't think this is valid (it's passed to lnWad that returns positive) but will ask for POC,Satisfactory,,41
validation-49,malicious user is possible front-run `challengeLPP`  to get funds,findings-53,not sure if this is an issue but it's valid so will let sponsor decide,Satisfactory,,43
findings-6,Attacker can continuously create games for not yet safe l2 blocks to prevent the update of anchor state,findings-6,,Satisfactory,,43
findings-37,`MIPS` - Incorrect handling of memory mapping,findings-37,leaving MIPS for sponsor :),Satisfactory,,44
findings-17,The lack of early reverts in `FDG.move` and `FDG.step` functions makes the protocol more centralized ,findings-17,"this is a nice suggestion but don't think it's a med, leaving for sponsor",Satisfactory,,44
findings-15,"The `MIPS` doesn't implement `ADD`, `ADDI`, and `SUB` instructions correctly",findings-15,leaving MIPS for sponsor :),Satisfactory,,44
findings-53,Frontrunning of successful `step()` and `challengeRootL2Block()` calls allows piggybacking on honest challengers' work,findings-53,"some of the dups focus on challengeLPP and challengeFirstLPP, but same idea",Satisfactory,,48
validation-79,Possible underflow if `CLOCK_EXTENSION` is greater than half the `MAX_CLOCK_DURATION`,validation-79,"seems legit, not the case on mainnet but could happen on other op stack chains",Satisfactory,,50
validation-52,DOS through claim of unsafe blocks,findings-6,,Satisfactory,,50
findings-42,Improper resolution for block number challenge of the root claim,findings-42,"this only impacts root bond and don't think it's an issue, but maybe legit",Satisfactory,,51
findings-52,PvP dynamic incentivizes honest challengers to waste resources and leak value to compete against each other,findings-52,i don't think this is an issue but want to share with sponsor just in case,Satisfactory,,52
validation-120,Attacker can steal any amount from the L1 bridge by submitting a game for a future L2Block that doesn't exist yet,validation-120,this is false (step will return invalid if L1 data isn't there) but passing to sponsor to be safe,Satisfactory,,58
findings-30,The clock extension is not applied correctly at `SPLIT_DEPTH - 1`,findings-44,,Satisfactory,,58
validation-57,There is no fixed deadline. The Fault Dispute Game can essentially go on because of the unlimited extension,validation-57,"not sure this is an issue, think about the upper bound, worth sharing with sponsor",Satisfactory,,60
validation-47,reset `initLPP`  may get funds stuck in contract,validation-47,,Satisfactory,,60
