issue,title,validator comment,status,size,Best
validation-100,QA Report,,Satisfactory,1,
validation-3,QA Report,,Unsatisfactory,1,
validation-92,Gas Optimizations,,Unsatisfactory,11,
findings-18,QA Report,,Satisfactory,13,
validation-22,Gas Optimizations,,Unsatisfactory,22,
validation-93,QA Report,,Unsatisfactory,26,
validation-69,QA Report,,Unsatisfactory,29,
findings-11,QA Report,,Satisfactory,29,
validation-102,QA Report,,Unsatisfactory,43,
validation-40,QA Report,,Satisfactory,47,
validation-51,QA Report,,Satisfactory,60,
validation-130,QA Report,,Unsatisfactory,78,
validation-105,QA Report,this is missing a bunch of the listed issues? could become best if submitted propery?,Satisfactory,124,
validation-124,QA Report,,Satisfactory,137,
validation-107,QA Report,,Satisfactory,179,
findings-34,QA Report,,Satisfactory,191,
findings-50,QA Report,,Satisfactory,197,
findings-45,QA Report,,Satisfactory,281,
findings-49,QA Report,,Satisfactory,293,
validation-68,QA Report,,Satisfactory,467,
validation-63,QA Report,,Satisfactory,855,
validation-17,QA Report,,Unsatisfactory,902,
validation-98,QA Report,,Satisfactory,1136,
validation-76,Gas Optimizations,,Satisfactory,2935,
findings-47,QA Report,,Satisfactory,3297,
validation-16,QA Report,,Unsatisfactory,12,
